county,fips
ADAIR ,21001
ALLEN ,21003
ANDERSON ,21005
BALLARD ,21007
BARREN ,21009
BATH ,21011
BELL ,21013
BOONE ,21015
BOURBON ,21017
BOYD ,21019
BOYLE ,21021
BRACKEN ,21023
BREATHITT ,21025
BRECKINRIDGE ,21027
BULLITT ,21029
BUTLER ,21031
CALDWELL ,21033
CALLOWAY ,21035
CAMPBELL ,21037
CARLISLE ,21039
CARROLL ,21041
CARTER ,21043
CASEY ,21045
CHRISTIAN ,21047
CLARK ,21049
CLAY ,21051
CLINTON ,21053
CRITTENDEN ,21055
CUMBERLAND ,21057
DAVIESS ,21059
EDMONSON ,21061
ELLIOTT ,21063
ESTILL ,21065
FAYETTE ,21067
FLEMING ,21069
FLOYD ,21071
FRANKLIN ,21073
FULTON ,21075
GALLATIN ,21077
GARRARD ,21079
GRANT ,21081
GRAVES ,21083
GRAYSON ,21085
GREEN ,21087
GREENUP ,21089
HANCOCK ,21091
HARDIN ,21093
HARLAN ,21095
HARRISON ,21097
HART ,21099
HENDERSON ,21101
HENRY ,21103
HICKMAN ,21105
HOPKINS ,21107
JACKSON ,21109
JEFFERSON ,21111
JESSAMINE ,21113
JOHNSON ,21115
KENTON ,21117
KNOTT ,21119
KNOX ,21121
LARUE ,21123
LAUREL ,21125
LAWRENCE ,21127
LEE ,21129
LESLIE ,21131
LETCHER ,21133
LEWIS ,21135
LINCOLN ,21137
LIVINGSTON ,21139
LOGAN ,21141
LYON ,21143
MCCRACKEN ,21145
MCCREARY ,21147
MCLEAN ,21149
MADISON ,21151
MAGOFFIN ,21153
MARION ,21155
MARSHALL ,21157
MARTIN ,21159
MASON ,21161
MEADE ,21163
MENIFEE ,21165
MERCER ,21167
METCALFE ,21169
MONROE ,21171
MONTGOMERY ,21173
MORGAN ,21175
MUHLENBERG ,21177
NELSON ,21179
NICHOLAS ,21181
OHIO ,21183
OLDHAM ,21185
OWEN ,21187
OWSLEY ,21189
PENDLETON ,21191
PERRY ,21193
PIKE ,21195
POWELL ,21197
PULASKI ,21199
ROBERTSON ,21201
ROCKCASTLE ,21203
ROWAN ,21205
RUSSELL ,21207
SCOTT ,21209
SHELBY ,21211
SIMPSON ,21213
SPENCER ,21215
TAYLOR ,21217
TODD ,21219
TRIGG ,21221
TRIMBLE ,21223
UNION ,21225
WARREN ,21227
WASHINGTON ,21229
WAYNE ,21231
WEBSTER ,21233
WHITLEY ,21235
WOLFE ,21237
WOODFORD ,21239
